lang,author_id,edit_history_tweet_ids,text,created_at,id
ko,1213102813191913472,['1650131590914400256'],"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",2023-04-23T13:36:43.000Z,1650131590914400256
ko,909153449907937280,['1650124172880916484'],"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",2023-04-23T13:07:15.000Z,1650124172880916484
ko,1009988758727348224,['1650123105959018496'],"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",2023-04-23T13:03:00.000Z,1650123105959018496
ko,1280781852278525952,['1650122654983290880'],"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",2023-04-23T13:01:13.000Z,1650122654983290880
ko,1431356591069011968,['1650120237570998272'],"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",2023-04-23T12:51:37.000Z,1650120237570998272
ko,1438515192099262464,['1650119936382230530'],"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",2023-04-23T12:50:25.000Z,1650119936382230530
ko,1530346964038348801,['1650119746397020160'],"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",2023-04-23T12:49:39.000Z,1650119746397020160
ko,1600139716028149760,['1650119644345430016'],"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",2023-04-23T12:49:15.000Z,1650119644345430016
ko,1505112727546900481,['1650119446374264832'],"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",2023-04-23T12:48:28.000Z,1650119446374264832
ko,1203484592239333376,['1650119280455974912'],"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",2023-04-23T12:47:48.000Z,1650119280455974912
ko,1520207998861594624,['1650118948871106561'],"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",2023-04-23T12:46:29.000Z,1650118948871106561
ko,1419148090678804482,['1650118545806880769'],"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",2023-04-23T12:44:53.000Z,1650118545806880769
ko,1297520413581258752,['1650117479287648262'],"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",2023-04-23T12:40:39.000Z,1650117479287648262
ko,1142322507535400960,['1650115226799607814'],"하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #SetMeFree_Pt2 from #Jimin_FACE by #JIMIN of @BTS_#JIMIN https://t.co/1EXgdZJwGn",2023-04-23T12:31:42.000Z,1650115226799607814
